Date,EUR,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
#date,#value+eur,#value+jpy,#value+bgn,#value+czk,#value+dkk,#value+gbp,#value+huf,#value+pln,#value+ron,#value+sek,#value+chf,#value+isk,#value+nok,#value+hrk,#value+rub,#value+trl,#value+try,#value+aud,#value+brl,#value+cad,#value+cny,#value+hkd,#value+idr,#value+ils,#value+inr,#value+krw,#value+mxn,#value+myr,#value+nzd,#value+php,#value+sgd,#value+thb,#value+zar
9/16/2022,0.9954,0.006983793,0.508947745,0.040633547,0.133851491,1.138901602,0.002463983,0.211144815,0.202160933,0.092560047,1.039148137,0.007197397,0.097602589,0.132305443,NaN,NaN,0.054715457,0.668322815,0.1904015,0.752608498,0.142634015,0.127398154,6.68E-05,0.290483556,0.012542764,0.000719438,0.049763033,0.220509072,0.595441766,0.017429217,0.70973262,0.027048913,0.056555533
9/15/2022,0.9992,0.006966464,0.510890684,0.040753732,0.134362477,1.149377689,0.002454132,0.211368011,0.202932694,0.093470533,1.043877977,0.007204037,0.098732251,0.132769938,NaN,NaN,0.054757586,0.672726049,0.192758069,0.758578804,0.143045296,0.127411601,6.69E-05,0.290600279,0.012535142,0.000715155,0.049954755,0.220505804,0.598717718,0.017450837,0.710567487,0.027140374,0.057004958
9/14/2022,0.999,0.006982108,0.510788424,0.040730623,0.134335583,1.154939999,0.002479523,0.211818587,0.202649248,0.093583138,1.039325843,0.007151038,0.098788628,0.132854578,NaN,NaN,0.054770638,0.67168695,0.192756671,0.758139182,0.143637671,0.127415343,6.70E-05,0.290922857,0.012578379,0.000717688,0.049880168,0.220895522,0.59910045,0.017509728,0.711589145,0.027289117,0.057301167
9/13/2022,1.0175,0.007041522,0.520247469,0.04144434,0.136823279,1.172329566,0.00256407,0.216259299,0.206766917,0.095892864,1.052332196,0.00726267,0.101762211,0.135206963,NaN,NaN,0.054810386,0.690485885,0.19656518,0.770833333,0.14439383,0.127418446,6.74E-05,0.298168498,0.012632643,0.00072819,0.050467475,0.221827378,0.61461794,0.017645019,0.71725645,0.027605198,0.058776977
9/12/2022,1.0155,0.007028168,0.51922487,0.041371303,0.136556176,1.170227477,0.002566144,0.216224848,0.206675486,0.095470442,1.050481018,0.007207239,0.101837181,0.135048873,NaN,NaN,0.054823141,0.688521256,0.195540408,0.769668031,0.144353784,0.127400921,6.73E-05,0.295667618,0.012584891,0.000726613,0.050516105,0.222049723,0.615491848,0.017599348,0.71675607,0.027540477,0.05862487
9/9/2022,1.0049,0.007012561,0.513805093,0.040956146,0.135130774,1.15691918,0.002535705,0.212857445,0.205002142,0.094230282,1.040592316,0.007132009,0.100655074,0.133550402,NaN,NaN,0.054828079,0.683419478,0.192927218,0.768859985,0.144500525,0.127410582,6.74E-05,0.291986285,0.012566198,0.000725748,0.05026762,0.222323009,0.610399077,0.017599566,0.714570149,0.027525474,0.057834973
9/8/2022,1.0009,0.00696763,0.511759894,0.040781486,0.134592886,1.155026773,0.002530849,0.212257449,0.205287554,0.093476535,1.027723586,0.007133999,0.099478209,0.133186959,NaN,NaN,0.054830015,0.675188883,0.192325429,0.762067915,0.143881893,0.127392832,6.72E-05,0.29189268,0.012552438,0.000724397,0.050012492,0.222170429,0.606937117,0.017550104,0.712181585,0.027483662,0.057590177
9/7/2022,0.9885,0.006902933,0.505419777,0.040132354,0.132925435,1.142642469,0.002459996,0.209029393,0.203457857,0.092479979,1.013846154,0.006995754,0.09936371,0.13154918,NaN,NaN,0.054836849,0.670260374,0.190532179,0.758226586,0.14332734,0.127390587,6.69E-05,0.290282794,0.012508225,0.000719202,0.049617267,0.222149808,0.600583268,0.017485672,0.709568588,0.027214911,0.05727712
9/6/2022,0.9928,0.007045632,0.507618366,0.040439919,0.133503664,1.157878777,0.002465665,0.210928869,0.205022303,0.092937047,1.018778861,0.006996476,0.100338572,0.132139007,NaN,NaN,0.054869624,0.677632926,0.193528265,0.761992478,0.143694548,0.127393112,6.72E-05,0.292861357,0.012530528,0.000726448,0.050003777,0.222222222,0.608594373,0.017523608,0.711837671,0.027393632,0.058124762
9/5/2022,0.992,0.007112641,0.507209326,0.040289172,0.133397881,1.148706547,0.002456053,0.209459459,0.205817669,0.092459689,1.017749051,0.006951647,0.100012098,0.131962274,NaN,NaN,0.054869684,0.678708265,0.192969829,0.760561221,0.144253141,0.127396715,6.71E-05,0.293265535,0.012520004,0.000729422,0.050052474,0.222606198,0.608999939,0.017564672,0.712029859,0.027355707,0.058052434
9/2/2022,0.9993,0.00711955,0.510941814,0.040819411,0.134368697,1.155554014,0.002508409,0.212332405,0.206744595,0.092959869,1.015651997,0.007062191,0.099895037,0.132841476,NaN,NaN,0.054884881,0.681139663,0.191609303,0.761023532,0.144761049,0.127398361,6.71E-05,0.294257951,0.01252105,0.000734326,0.049710482,0.223013234,0.609552275,0.0175766,0.713123528,0.027285387,0.057832873
9/1/2022,1.0004,0.007179561,0.511504244,0.040852663,0.134512989,1.156892903,0.002503629,0.212272959,0.206493694,0.093134106,1.020608039,0.007059986,0.099910117,0.133014227,NaN,NaN,0.054922069,0.682820285,0.191504432,0.759662845,0.144949795,0.127421635,6.72E-05,0.29734871,0.012564761,0.000739017,0.049536033,0.223164094,0.610409421,0.017672102,0.714469362,0.02725143,0.0583242
8/31/2022,1,0.007208766,0.511299724,0.040733198,0.134461013,1.162317661,0.002482622,0.211492503,0.205782488,0.093643481,1.020824826,0.007057163,0.100615769,0.13307074,NaN,NaN,0.054990679,0.685353985,0.194242648,0.762718328,0.145038943,0.127408011,6.73E-05,0.299410162,0.012571263,0.000744718,0.04949417,0.223438722,0.612670016,0.017808488,0.715870857,0.027434842,0.058593636
8/30/2022,1.0034,0.007233797,0.513038143,0.040826789,0.13490911,1.171580361,0.002469118,0.212032204,0.206219044,0.094215962,1.030079047,0.007061224,0.102856909,0.133603185,NaN,NaN,0.055013981,0.693338861,0.199538639,0.769065686,0.144930886,0.127414255,6.75E-05,0.302520502,0.012573541,0.000742753,0.050150692,0.223439553,0.617666974,0.017792988,0.7168679,0.027494931,0.059525293
8/29/2022,0.9986,0.007210629,0.510583904,0.040606701,0.134258326,1.169047062,0.002436204,0.210453109,0.205055545,0.093959353,1.032678387,0.00707725,0.10223701,0.132935742,NaN,NaN,0.054987473,0.687315025,0.19710637,0.766620605,0.144632408,0.127424459,6.72E-05,0.301273155,0.01250916,0.000741093,0.049960976,0.222717845,0.612450169,0.017772794,0.715842294,0.02743482,0.059126892
8/26/2022,1.0007,0.007303313,0.511657634,0.040621068,0.134540663,1.183000355,0.002437878,0.210740234,0.205360258,0.094670918,1.037855217,0.007132573,0.10351712,0.13318693,NaN,NaN,0.055006789,0.698179027,0.195950577,0.773099506,0.145723814,0.127443614,6.75E-05,0.30755755,0.012524014,0.000750454,0.050225858,0.2238402,0.621089871,0.017834928,0.719617431,0.027770223,0.059567249
8/25/2022,0.997,0.007327111,0.509765825,0.040449529,0.134052223,1.182779116,0.00243807,0.209550633,0.204479265,0.094479981,1.036813644,0.007106201,0.103423237,0.132685653,NaN,NaN,0.055046378,0.696910387,0.195955109,0.774008229,0.145937322,0.127438198,6.76E-05,0.304046842,0.012516399,0.00074851,0.050319989,0.223612793,0.622891416,0.017853945,0.719491954,0.027902161,0.059379523
8/24/2022,0.9934,0.007318403,0.507925146,0.040334565,0.133555612,1.178648126,0.002417443,0.208399765,0.203565574,0.093840922,1.037385129,0.007121147,0.10309257,0.132232945,NaN,NaN,0.055078121,0.690388491,0.196300834,0.769600248,0.145617121,0.127440667,6.73E-05,0.304733274,0.012527017,0.000745326,0.050227272,0.222940371,0.618362901,0.017834829,0.716893989,0.027666685,0.058789414
8/23/2022,0.9927,0.007281062,0.507567236,0.04025874,0.133474064,1.176979714,0.002417976,0.207729974,0.20325969,0.093595316,1.033847115,0.007085653,0.10188017,0.13213449,NaN,NaN,0.055202135,0.687608229,0.194708144,0.767868193,0.146088415,0.127432606,6.73E-05,0.304527885,0.012521364,0.000745214,0.049846349,0.222793276,0.617696472,0.01783475,0.716233766,0.027685743,0.058542885
8/22/2022,1.0001,0.00729574,0.511350854,0.040570362,0.134476267,1.181341397,0.002451225,0.209928631,0.204716189,0.093906103,1.04394572,0.007097942,0.102344478,0.13314606,NaN,NaN,0.055172452,0.690772206,0.19324857,0.769959196,0.146091707,0.127453229,6.71E-05,0.305113186,0.01252293,0.000744006,0.049612318,0.222967851,0.620217054,0.017789676,0.716506663,0.027704369,0.058565522
8/19/2022,1.0054,0.007302971,0.514060742,0.040828426,0.135183467,1.183686925,0.002468148,0.211618607,0.205978161,0.094764126,1.045549085,0.007155872,0.10215611,0.133776861,NaN,NaN,0.055233261,0.689385628,0.192112202,0.769713673,0.14670733,0.12746428,6.72E-05,0.305787889,0.012520735,0.000748405,0.049460578,0.223387473,0.620502376,0.017849978,0.71922169,0.02793709,0.058792915
8/18/2022,1.0178,0.00741999,0.520400859,0.041355491,0.136821304,1.206052778,0.00251228,0.215453006,0.208531388,0.096106815,1.05112052,0.007244128,0.103558092,0.135318753,NaN,NaN,0.055286673,0.696312513,0.194511333,0.77588047,0.147379091,0.127473573,6.74E-05,0.30848968,0.01255892,0.000756836,0.050105844,0.22351546,0.630411892,0.017926589,0.724258166,0.028074144,0.05986918
8/17/2022,1.0164,0.007399534,0.519685039,0.041374257,0.136655149,1.20701121,0.002514099,0.215897022,0.208172043,0.096234508,1.049349577,0.007244476,0.103263299,0.135391829,NaN,NaN,0.055672407,0.693551689,0.192361558,0.774872303,0.147481753,0.127520231,6.77E-05,0.306976744,0.01258614,0.000760198,0.049866307,0.223812565,0.628765852,0.017903192,0.723364885,0.028192611,0.060097561
8/16/2022,1.0131,0.007443244,0.51799775,0.041283619,0.136227948,1.202949488,0.002494092,0.215356164,0.207517411,0.096151473,1.052571429,0.007220955,0.102928029,0.134900133,NaN,NaN,0.05566667,0.700477079,0.195447092,0.77477822,0.147323571,0.127515765,6.77E-05,0.306192765,0.012604744,0.000761924,0.050254223,0.223914245,0.632712965,0.017898661,0.724678112,0.028196493,0.060826389
8/15/2022,1.0195,0.007517882,0.521270069,0.041680294,0.137079316,1.208296296,0.002557702,0.21757224,0.208704375,0.097113736,1.058560897,0.007266572,0.103282342,0.135882604,NaN,NaN,0.055666883,0.702715743,0.195052422,0.774284195,0.147646633,0.127598593,6.78E-05,0.306211329,0.012576948,0.000762899,0.049996567,0.224238425,0.637107862,0.017847764,0.726346537,0.028148987,0.060911128
8/12/2022,1.0285,0.007481632,0.525871766,0.042186218,0.138248538,1.214070708,0.002621718,0.219891818,0.210262701,0.098406927,1.061513056,0.00733072,0.104809946,0.136881471,NaN,NaN,0.055674947,0.709506071,0.194030977,0.782248251,0.148301419,0.127605459,6.81E-05,0.307473842,0.012543677,0.000766057,0.050189094,0.225010392,0.643415702,0.017966321,0.729122359,0.028260929,0.061469776
8/11/2022,1.0338,0.007569744,0.528581655,0.042462828,0.138960952,1.222347029,0.00262266,0.220765354,0.210743044,0.099787645,1.064456343,0.007400143,0.105446756,0.13756487,NaN,NaN,0.055678232,0.711395541,0.197113276,0.783063172,0.148389505,0.127443971,6.79E-05,0.308550963,0.012563727,0.000768842,0.050087695,0.224973886,0.64431287,0.018065531,0.730549078,0.028445643,0.06187344
8/10/2022,1.0252,0.007420382,0.524184477,0.04202156,0.137801255,1.211705749,0.002578147,0.217835667,0.2086369,0.098792557,1.055492639,0.007338583,0.103432273,0.136405971,NaN,NaN,0.055687429,0.69826999,0.195239002,0.776255016,0.148103204,0.12741735,6.74E-05,0.303556095,0.012584082,0.000762707,0.049495486,0.224366971,0.632410092,0.017966737,0.72673141,0.028149368,0.060738915
8/9/2022,1.0234,0.007401996,0.523264137,0.041716941,0.137540823,1.210837672,0.002575563,0.217351598,0.208695298,0.098522262,1.048243368,0.007304782,0.102994012,0.136199095,NaN,NaN,0.055819179,0.6968067,0.195015054,0.777482337,0.148091338,0.127393134,6.73E-05,0.302199911,0.012571555,0.000765594,0.049405006,0.224469205,0.627698724,0.017973621,0.725301205,0.028220825,0.06002346
8/8/2022,1.0199,0.007410987,0.521474588,0.0416031,0.137074121,1.211786372,0.002586806,0.21680165,0.207452759,0.098398456,1.044658404,0.0072798,0.102600473,0.135764014,NaN,NaN,0.055678995,0.698226878,0.194711722,0.776534186,0.147959554,0.127390365,6.73E-05,0.300899838,0.012565606,0.000766882,0.049315797,0.224267212,0.629490186,0.018034091,0.72549438,0.028034634,0.060102302
8/5/2022,1.0233,0.007512113,0.523213007,0.041629714,0.137512598,1.214339963,0.002598659,0.21733036,0.207772431,0.09879988,1.046747136,0.007367171,0.102514526,0.136171289,NaN,NaN,0.055658597,0.695507374,0.191816001,0.776109215,0.148158337,0.1273902,6.72E-05,0.300678753,0.012626023,0.000772576,0.049110464,0.224417738,0.629800591,0.018103814,0.726930454,0.028133506,0.060073264
8/4/2022,1.0181,0.007496502,0.520554249,0.041287157,0.136795432,1.208699885,0.002571089,0.215548451,0.206674651,0.09813958,1.042601126,0.007340303,0.102770908,0.135475715,NaN,NaN,0.055657603,0.696994592,0.189894431,0.778959449,0.148046358,0.127391484,6.70E-05,0.298554295,0.012604693,0.000763365,0.049050877,0.224315333,0.629544892,0.017977151,0.725297428,0.02781238,0.059764488
8/3/2022,1.0194,0.007485681,0.521218939,0.04135497,0.136966423,1.218955147,0.002580564,0.217309742,0.207005787,0.098101296,1.043077868,0.007318019,0.103237698,0.13559818,NaN,NaN,0.055670846,0.694366869,0.190374811,0.779059992,0.148104024,0.127389968,6.71E-05,0.296664921,0.012633614,0.000763007,0.048361387,0.224364477,0.626706013,0.017929821,0.724571754,0.02757893,0.059515539
8/2/2022,1.0224,0.007635549,0.522752838,0.041486772,0.137360275,1.222016375,0.002576483,0.21724072,0.207391781,0.098312419,1.049261084,0.007339555,0.102955541,0.135966487,NaN,NaN,0.055697196,0.693387589,0.192270804,0.777490494,0.147923087,0.127390757,6.72E-05,0.296468132,0.012728402,0.000763464,0.048797251,0.224550306,0.629014396,0.017989232,0.724952138,0.027696809,0.060204923
8/1/2022,1.0233,0.007558724,0.523213007,0.041550268,0.13743503,1.222580645,0.002549645,0.216159696,0.207637522,0.098709341,1.05310281,0.007377794,0.103742979,0.136059035,NaN,NaN,0.055773266,0.704024768,0.194089866,0.78257877,0.14807901,0.127388614,6.73E-05,0.296213744,0.012643714,0.000767494,0.049283599,0.224565485,0.633230198,0.018036803,0.726414425,0.027673959,0.060689271
7/29/2022,1.0198,0.007475443,0.521423458,0.04143844,0.136999919,1.214192166,0.002519269,0.215261214,0.206675719,0.098175692,1.046592775,0.007373825,0.103246839,0.135647779,NaN,NaN,0.055888027,0.696299331,0.193367337,0.778473282,0.148431701,0.127389012,6.73E-05,0.293771965,0.012608491,0.000767113,0.049326465,0.22469484,0.626297365,0.018089579,0.723878478,0.02757856,0.060476673
7/28/2022,1.0122,0.007374326,0.517537581,0.041131293,0.135971629,1.210968344,0.002485146,0.211279953,0.205139638,0.096870514,1.038686506,0.007297765,0.102259984,0.134601064,NaN,NaN,0.05579411,0.696388029,0.189906191,0.779454797,0.148144896,0.127391261,6.70E-05,0.291691882,0.012549982,0.000766557,0.048955311,0.224578998,0.625896611,0.01788592,0.722535513,0.027285225,0.059537324
